timestamp;consumer1;pv1;thermal_user1;consumer2;pv2;thermal_user2
2023.01.01 0:00;0.064;0;0;0.045;0;0.013
2023.01.01 0:15;0.064;0;0;0.068;0;0.003
2023.01.01 0:30;0.036;0;0.001;0.063;0;0.003
2023.01.01 0:45;0.092;0;0;0.04;0;0.003
2023.01.01 1:00;0.036;0;0;0.048;0;0.008
2023.01.01 1:15;0.088;0;0;0.025;0;0.045
2023.01.01 1:30;0.04;0;0;0.033;0;0.045
2023.01.01 1:45;0.052;0;0.001;0.053;0;0.008
2023.01.01 2:00;0.076;0;0;0.02;0;0.003
2023.01.01 2:15;0.04;0;0;0.018;0;0.003
2023.01.01 2:30;0.084;0;0;0.023;0;0.025
2023.01.01 2:45;0.04;0;0;0.04;0;0.015
2023.01.01 3:00;0.068;0;0.001;0.068;0;0.003
2023.01.01 3:15;0.06;0;0;0.025;0;0.003
2023.01.01 3:30;0.036;0;0;0.023;0;0.033
2023.01.01 3:45;0.088;0;0;0.023;0;0.02
2023.01.01 4:00;0.04;0;0;0.018;0;0.045
2023.01.01 4:15;0.08;0;0.001;0.05;0;0.01
2023.01.01 4:30;0.064;0;0;0.03;0;0.003
2023.01.01 4:45;0.044;0;0;0.038;0;0.003
2023.01.01 5:00;0.084;0;0;0.028;0;0.003
2023.01.01 5:15;0.036;0;0;0.02;0;0.018
2023.01.01 5:30;0.088;0;0.001;0.043;0;0.033
2023.01.01 5:45;0.04;0;0;0.038;0;0.038
2023.01.01 6:00;0.056;0;0;0.02;0;0.003
2023.01.01 6:15;0.12;0;0;0.018;0;0.003
2023.01.01 6:30;0.072;0;0;0.033;0;0.005
2023.01.01 6:45;0.116;0;0.001;0.078;0;0
2023.01.01 7:00;0.164;0;0;0.1;0;0
2023.01.01 7:15;0.376;0.0007;0;0.068;0.00063;0
2023.01.01 7:30;0.304;0.0043;0;0.053;0.00387;0
2023.01.01 7:45;0.208;0.0097;0;0.055;0.00873;0
2023.01.01 8:00;0.088;0.016;0.001;0.053;0.0144;0
2023.01.01 8:15;0.072;0.024;0;0.063;0.0216;0
